stop_id,stop_name,stop_lat,stop_lon,date_opened,date_opened_min,date_opened_max,date_precision,date_closed
ITHS01044,Enas,40.85706,9.431095,18850101,18770101,18850101,window_1877_1885,
ITHS01045,Enna,37.581134,14.289579,19310101,19150101,19310101,window_1915_1931,
ITHS01046,Equi Terme,44.170282,10.153624,19100101,19100101,19100101,exact,
ITHS01047,Erba,45.813138450391,9.2302151185209,18850101,18770101,18850101,window_1877_1885,
ITHS01048,Este,45.220954,11.662931,18760101,,18760101,open_by_1876,
ITHS01050,Esterzili,39.7791490,9.2847410,18990101,18860101,18990101,window_1886_1899,
ITHS01051,Exilles,45.08999,6.927344,18760101,,18760101,open_by_1876,
ITHS01052,Fabriano,43.345429,12.905336,18760101,,18760101,open_by_1876,
ITHS01053,Faenza,44.293594,11.883268,18760101,,18760101,open_by_1876,
ITHS01054,Fagarè della Battaglia,45.7072104,12.4267495,18850101,18770101,18850101,window_1877_1885,
ITHS01056,Fagnano Campana,42.250575,13.562743,18850101,18770101,18850101,window_1877_1885,
ITHS01057,Falconara,37.113529,14.052516,18760101,,18760101,open_by_1876,
ITHS01058,Falconara Marittima,43.630577,13.397378,18990101,18860101,18990101,window_1886_1899,
ITHS01059,Falcone,38.119573,15.080467,18990101,18860101,18990101,window_1886_1899,
ITHS01060,Faleri,42.3056510,12.3518083,19130101,19130101,19130101,exact,
ITHS01061,Falerna,38.970726,16.14991,18990101,18860101,18990101,window_1886_1899,
ITHS01063,Fano,43.842977,13.02478,18760101,,18760101,open_by_1876,
ITHS01065,Fanzolo,45.708253,11.992069,18990101,18860101,18990101,window_1886_1899,
ITHS01066,Fara Novarese,45.5551594,8.4589412,19010101,19010101,19010101,exact,
ITHS01067,Fara Sabina,42.2095575,12.7292119,18990101,18860101,18990101,window_1886_1899,
ITHS01068,Farigliano,44.513337,7.90947,18760101,,18760101,open_by_1876,
ITHS01069,Fasano,40.851753,17.3859,18760101,,18760101,open_by_1876,
ITHS01070,Fauglia,43.5674662,10.5066841,18760101,,18760101,open_by_1876,
ITHS01071,Favarotta,37.20532,13.913217,18990101,18860101,18990101,window_1886_1899,
ITHS01072,Favazzina,38.258742,15.756625,18990101,18860101,18990101,window_1886_1899,
ITHS01073,Favignana,37.9314018,12.3274291,19080101,19080101,19080101,exact,
ITHS01074,Favria,45.337174,7.689845,19070101,19070101,19070101,exact,
ITHS01076,Feletto,45.303696,7.743724,18760101,,18760101,open_by_1876,
ITHS01077,Felizzano,44.893367,8.437155,18760101,,18760101,open_by_1876,
ITHS01078,Felonica Po,44.9718435,11.3384518,18990101,18860101,18990101,window_1886_1899,
ITHS01079,Feltre,46.012884,11.911493,18990101,18860101,18990101,window_1886_1899,
ITHS01080,Ferentino,41.6929320,13.2534215,18760101,,18760101,open_by_1876,
ITHS01081,Fermignano,43.6767577,12.6453734,18990101,18860101,18990101,window_1886_1899,
ITHS01082,Feroleto Antico,38.9610947,16.3883274,18990101,18860101,18990101,window_1886_1899,
ITHS01083,Ferrandina,40.5012180,16.4546830,18760101,,18760101,open_by_1876,
ITHS01085,Ferrania,44.365136,8.328885,18990101,18860101,18990101,window_1886_1899,
ITHS01086,Ferrara,44.843047,11.603594,18760101,,18760101,open_by_1876,
ITHS01087,Ferrera,45.8672047,8.1879614,18760101,,18760101,open_by_1876,
ITHS01089,Ficarazzi,38.088244,13.464222,18760101,,18760101,open_by_1876,
ITHS01090,Ficulle,42.8362745,12.0656093,18760101,,18760101,open_by_1876,
ITHS01091,Ficuzza,37.8822768,13.3774398,18990101,18860101,18990101,window_1886_1899,
ITHS01092,Fidenza,44.86773,10.06339,19310101,19150101,19310101,window_1915_1931,
ITHS01093,Figline,43.9228771,11.0911339,18760101,,18760101,open_by_1876,
ITHS01094,Filattiera,44.33137,9.933352,18990101,18860101,18990101,window_1886_1899,
ITHS01095,Fildidonna,37.310867,14.808848,18990101,18860101,18990101,window_1886_1899,
