from_stop_id,to_stop_id,route_id,date_opened,date_closed,evidence,line_name
ITHS00633,ITHS01864,ferrovia_treviglio_cremona,18630101,,dated_line,ferrovia Treviglio-Cremona
ITHS00633,ITHS02787,ferrovia_treviglio_cremona,18630101,,dated_line,ferrovia Treviglio-Cremona
ITHS00636,ITHS00637,ferrovia_chivasso_alessandria,18570101,,dated_line,ferrovia Chivasso-Alessandria
ITHS00636,ITHS02895,,,,current_only,
ITHS00640,ITHS00962,ferrovia_treviglio_cremona,18630101,,dated_line,ferrovia Treviglio-Cremona
ITHS00642,ITHS02561,,,,current_only,
ITHS00643,ITHS01783,,,,current_only,
ITHS00644,ITHS00886,ferrovia_milano_bologna,18610101,,dated_line,ferrovia Milano-Bologna
ITHS00644,ITHS01901,,,,current_only,
ITHS00644,ITHS02682,ferrovia_milano_bologna,18610101,,dated_line,ferrovia Milano-Bologna
ITHS00649,ITHS00888,ferrovia_venezia_udine,18510101,,dated_line,ferrovia Venezia-Udine
ITHS00652,ITHS02156,,,,current_only,
ITHS00656,ITHS01469,,,,current_only,
ITHS00656,ITHS01470,,,,current_only,
ITHS00656,ITHS02618,,,,current_only,
ITHS00663,ITHS02735,,,,current_only,
ITHS00664,ITHS02995,,,,current_only,
ITHS00664,ITHS02997,ferrovia_milano_venezia,18420101,,dated_line,ferrovia Milano-Venezia
ITHS00670,ITHS03159,,,,current_only,
ITHS00674,ITHS00769,,,,current_only,
ITHS00675,ITHS02467,,,,current_only,
ITHS00675,ITHS03208,,,,current_only,
ITHS00678,ITHS01053,ferrovia_bologna_ancona,18610101,,dated_line,ferrovia Bologna-Ancona
ITHS00678,ITHS01318,,,,current_only,
ITHS00678,ITHS02761,ferrovia_castelbolognese_ravenna,18630101,,dated_line,ferrovia Castelbolognese-Ravenna
ITHS00685,ITHS02916,,,,current_only,
ITHS00685,ITHS03140,,,,current_only,
ITHS00687,ITHS01318,,,,current_only,
ITHS00687,ITHS03085,,,,current_only,
ITHS00697,ITHS01065,ferrovia_montebelluna_camposampiero,18860101,,dated_line,ferrovia Montebelluna-Camposampiero
ITHS00697,ITHS02481,ferrovia_vicenza_treviso,18770101,,dated_line,ferrovia Vicenza-Treviso
ITHS00701,ITHS02321,,,,current_only,
ITHS00701,ITHS02881,,,,current_only,
ITHS00705,ITHS01243,,,,current_only,
ITHS00705,ITHS01936,,,,current_only,
ITHS00709,ITHS02787,ferrovia_treviglio_cremona,18630101,,dated_line,ferrovia Treviglio-Cremona
ITHS00710,ITHS00812,,,,current_only,
ITHS00712,ITHS01508,,,,current_only,
ITHS00717,ITHS02701,,,,current_only,
ITHS00720,ITHS02526,,,,current_only,
ITHS00726,ITHS00951,,,,current_only,
ITHS00726,ITHS01968,,,,current_only,
ITHS00727,ITHS00843,,,,current_only,
ITHS00727,ITHS02891,ferrovia_firenze_roma,18660101,,dated_line,ferrovia Firenze-Roma
ITHS00731,ITHS02256,,,,current_only,
ITHS00740,ITHS00741,,,,current_only,
ITHS00744,ITHS02748,,,,current_only,
ITHS00744,ITHS02816,,,,current_only,
ITHS00751,ITHS02015,,,,current_only,
ITHS00752,ITHS02298,,,,current_only,
ITHS00752,ITHS02356,,,,current_only,
ITHS00753,ITHS00755,,,,current_only,
ITHS00753,ITHS01989,ferrovia_vercelli_pavia,18820101,,dated_line,ferrovia Vercelli-Pavia
ITHS00754,ITHS01815,,,,current_only,
ITHS00755,ITHS01989,ferrovia_milano_genova,18530101,,dated_line,ferrovia Milano-Genova
ITHS00756,ITHS00964,,,,current_only,
ITHS00759,ITHS02259,ferrovia_torino_fossano_savona,18480101,,dated_line,Ferrovia Torino-Fossano-Savona
ITHS00759,ITHS02651,ferrovia_torino_fossano_savona,18480101,,dated_line,Ferrovia Torino-Fossano-Savona
ITHS00761,ITHS01185,ferrovia_gallarate_varese,18650101,,dated_line,ferrovia Gallarate-Varese
ITHS00763,ITHS01032,,,,current_only,
ITHS00763,ITHS03138,ferrovia_vicenza_schio,18760101,,dated_line,ferrovia Vicenza-Schio
ITHS00765,ITHS01165,,,,current_only,
ITHS00765,ITHS02105,,,,current_only,
ITHS00767,ITHS03039,ferrovia_tirrenica,18590101,,dated_line,ferrovia Tirrenica
ITHS00769,ITHS01376,,,,current_only,
ITHS00770,ITHS02548,,,,current_only,
ITHS00770,ITHS02582,,,,current_only,
ITHS00775,ITHS02530,,,,current_only,
ITHS00777,ITHS01142,,,,current_only,
ITHS00783,ITHS00896,,,,current_only,
ITHS00784,ITHS01111,,,,current_only,
ITHS00785,ITHS01393,,,,current_only,
ITHS00785,ITHS02599,,,,current_only,
ITHS00786,ITHS01360,,,,current_only,
ITHS00786,ITHS02407,ferrovia_rovigo_chioggia,18760101,,dated_line,ferrovia Rovigo-Chioggia
ITHS00791,ITHS01887,,,,current_only,
ITHS00793,ITHS01859,ferrovia_lecco_milano,18400101,,dated_line,ferrovia Lecco-Milano
ITHS00794,ITHS01554,,,,current_only,
ITHS00799,ITHS00807,,,,current_only,
ITHS00806,ITHS01196,,,,current_only,
ITHS00812,ITHS01839,,,,current_only,
ITHS00812,ITHS02525,,,,current_only,
ITHS00816,ITHS01790,,,,current_only,
ITHS00819,ITHS01343,,,,current_only,
ITHS00821,ITHS01681,,,,current_only,
ITHS00824,ITHS01380,,,,current_only,
ITHS00827,ITHS03013,ferrovia_trofarello_chieri,18740101,,dated_line,ferrovia Trofarello-Chieri
ITHS00829,ITHS01506,,,,current_only,
ITHS00831,ITHS02110,,,,current_only,
ITHS00833,ITHS01624,,,,current_only,
ITHS00836,ITHS02523,,,,current_only,
ITHS00844,ITHS01682,,,,current_only,
ITHS00845,ITHS01153,,,,current_only,
ITHS00852,ITHS01977,,,,current_only,
ITHS00856,ITHS00978,,,,current_only,
ITHS00856,ITHS02954,,,,current_only,
ITHS00861,ITHS01069,,,,current_only,
ITHS00861,ITHS01907,,,,current_only,
ITHS00865,ITHS01125,ferrovia_vicenza_treviso,18770101,,dated_line,ferrovia Vicenza-Treviso
ITHS00865,ITHS02395,ferrovia_bassano_padova,18770101,,dated_line,ferrovia Bassano-Padova
ITHS00866,ITHS02305,,,,current_only,
ITHS00875,ITHS01703,ferrovia_civitanova_marche_fabriano,18840101,,dated_line,ferrovia Civitanova Marche-Fabriano
ITHS00878,ITHS02274,ferrovia_ferrara_rimini,18830101,,dated_line,ferrovia Ferrara-Rimini
ITHS00880,ITHS02400,ferrovia_lecco_brescia,18630101,,dated_line,ferrovia Lecco-Brescia
ITHS00882,ITHS01264,,,,current_only,
ITHS00891,ITHS03080,,,,current_only,
ITHS00895,ITHS00998,ferrovia_tirano_lecco,19020101,,dated_line,ferrovia Tirano-Lecco
ITHS00895,ITHS01030,ferrovia_colico_chiavenna,18860101,,dated_line,ferrovia Colico-Chiavenna
ITHS00895,ITHS02081,ferrovia_tirano_lecco,19020101,,dated_line,ferrovia Tirano-Lecco
ITHS00896,ITHS02027,,,,current_only,
ITHS00898,ITHS02089,ferrovia_pisa_vada,18630101,,dated_line,ferrovia Pisa-Vada
ITHS00898,ITHS03137,ferrovia_pisa_vada,18630101,,dated_line,ferrovia Pisa-Vada
ITHS00899,ITHS03139,ferrovia_pontremolese,18920101,,dated_line,ferrovia Pontremolese
ITHS00908,ITHS01023,,,,current_only,
ITHS00908,ITHS03202,,,,current_only,
ITHS00910,ITHS01297,,,,current_only,
ITHS00912,ITHS00914,,,,current_only,
ITHS00922,ITHS01383,ferrovia_lavezzola_lugo,18880101,,dated_line,Ferrovia Lavezzola-Lugo
ITHS00922,ITHS01447,ferrovia_lavezzola_lugo,18880101,,dated_line,Ferrovia Lavezzola-Lugo
ITHS00923,ITHS01010,,,,current_only,
ITHS00927,ITHS02737,,,,current_only,
ITHS00932,ITHS02098,,,,current_only,
ITHS00934,ITHS01886,,,,current_only,
ITHS00936,ITHS02394,,,,current_only,
ITHS00936,ITHS02735,ferrovia_jonica,18660101,,dated_line,ferrovia Jonica
ITHS00939,ITHS01604,,,,current_only,
ITHS00944,ITHS01693,,,,current_only,
ITHS00947,ITHS02442,,,,current_only,
ITHS00953,ITHS01744,,,,current_only,
ITHS00956,ITHS01650,ferrovia_monza_molteno,19110101,,dated_line,ferrovia Monza-Molteno
ITHS00960,ITHS01754,,,,current_only,
ITHS00964,ITHS01864,ferrovia_brescia_cremona,18630101,,dated_line,ferrovia Brescia-Cremona
ITHS00964,ITHS03192,,,,current_only,
ITHS00966,ITHS01124,,,,current_only,
ITHS00968,ITHS02844,,,,current_only,
ITHS00970,ITHS02562,,,,current_only,
ITHS00975,ITHS02691,,,,current_only,
ITHS00977,ITHS00990,,,,current_only,
ITHS00977,ITHS02837,,,,current_only,
ITHS00987,ITHS01295,,,,current_only,
ITHS00987,ITHS01994,,,,current_only,
ITHS00988,ITHS02373,,,,current_only,
ITHS00990,ITHS02344,,,,current_only,
ITHS00993,ITHS03188,ferrovia_cagliari_golfo_aranci,18710101,,dated_line,ferrovia Cagliari-Golfo Aranci
ITHS00995,ITHS02042,,,,current_only,
ITHS00997,ITHS01146,,,,current_only,
ITHS01003,ITHS01437,ferrovia_milano_venezia,18420101,,dated_line,ferrovia Milano-Venezia
ITHS01003,ITHS02022,ferrovia_milano_venezia,18420101,,dated_line,ferrovia Milano-Venezia
ITHS01004,ITHS02696,ferrovia_chiasso_milano,18400101,,dated_line,ferrovia Chiasso-Milano
ITHS01006,ITHS01288,,,,current_only,
ITHS01014,ITHS01401,,,,current_only,
ITHS01018,ITHS03158,,,,current_only,
ITHS01019,ITHS03120,ferrovia_del_brennero,18590101,,dated_line,ferrovia del Brennero
ITHS01020,ITHS01037,,,,current_only,
ITHS01020,ITHS03171,,,,current_only,
ITHS01023,ITHS02262,,,,current_only,
ITHS01028,ITHS03120,ferrovia_verona_modena,18510101,19870101,dated_line,ferrovia Verona-Modena
ITHS01028,ITHS03176,,,,current_only,
ITHS01040,ITHS02689,,,,current_only,
ITHS01043,ITHS02134,,,,current_only,
ITHS01045,ITHS01401,,,,current_only,
ITHS01045,ITHS03187,,,,current_only,
ITHS01047,ITHS01586,,,,current_only,
ITHS01048,ITHS01673,,,,current_only,
ITHS01048,ITHS01900,,,,current_only,
ITHS01053,ITHS01274,ferrovia_faenza_lavezzola,18880101,,dated_line,ferrovia Faenza-Lavezzola
ITHS01056,ITHS01128,,,,current_only,
ITHS01056,ITHS02547,,,,current_only,
ITHS01057,ITHS01413,,,,current_only,
ITHS01058,ITHS01689,,,,current_only,
ITHS01058,ITHS01962,,,,current_only,
ITHS01063,ITHS01535,,,,current_only,
ITHS01063,ITHS02015,,,,current_only,
ITHS01065,ITHS01693,,,,current_only,
ITHS01069,ITHS01671,,,,current_only,
ITHS01071,ITHS02491,,,,current_only,
ITHS01077,ITHS02765,,,,current_only,
ITHS01079,ITHS02251,,,,current_only,
ITHS01094,ITHS03174,ferrovia_pontremolese,18920101,,dated_line,ferrovia Pontremolese
ITHS01095,ITHS01617,,,,current_only,
ITHS01095,ITHS02679,,,,current_only,
ITHS01099,ITHS02814,,,,current_only,
ITHS01104,ITHS01107,,,,current_only,
ITHS01106,ITHS01107,ferrovia_bologna_firenze,19340101,,dated_line,ferrovia Bologna-Firenze
ITHS01108,ITHS01582,,,,current_only,
ITHS01111,ITHS02886,,,,current_only,
ITHS01115,ITHS01323,,,,current_only,
ITHS01118,ITHS02799,ferrovia_terontola_foligno,18660101,,dated_line,ferrovia Terontola-Foligno
ITHS01118,ITHS02996,ferrovia_roma_ancona,18660101,,dated_line,ferrovia Roma-Ancona
ITHS01119,ITHS02669,ferrovia_tirrenica,18590101,,dated_line,ferrovia Tirrenica
ITHS01119,ITHS03150,ferrovia_tirrenica,18590101,,dated_line,ferrovia Tirrenica
ITHS01129,ITHS02314,,,,current_only,
ITHS01133,ITHS01622,,,,current_only,
ITHS01138,ITHS01567,ferrovia_fidenza_fornovo,19070101,,dated_line,ferrovia Fidenza-Fornovo
ITHS01138,ITHS02769,ferrovia_pontremolese,18920101,,dated_line,ferrovia Pontremolese
ITHS01140,ITHS02591,,,,current_only,
