route_id,agency_id,valid_from,valid_to,region,source,confidence
ferrovia_roma_cassino_napoli,UNKNOWN_PRE1885,18420101,18850101,MAIN,rule,low
ferrovia_roma_cassino_napoli,UNKNOWN_RM_RA,18850101,19050101,MAIN,rule,low
ferrovia_roma_cassino_napoli,FS,19050101,,MAIN,rule,high
ferrovia_roma_sulmona_pescara,UNKNOWN_RM_RA,18880101,19050101,MAIN,rule,low
ferrovia_roma_sulmona_pescara,FS,19050101,,MAIN,rule,high
ferrovia_rovigo_chioggia,UNKNOWN_PRE1885,18760101,18850101,MAIN,rule,low
ferrovia_rovigo_chioggia,UNKNOWN_RM_RA,18850101,19050101,MAIN,rule,low
ferrovia_rovigo_chioggia,FS,19050101,,MAIN,rule,high
ferrovia_santhi_arona,FS,19050101,20120101,MAIN,rule,high
ferrovia_santo_stefano_di_magra_sarzana,UNKNOWN_RM_RA,18970101,19050101,MAIN,rule,low
ferrovia_santo_stefano_di_magra_sarzana,FS,19050101,20030101,MAIN,rule,high
ferrovia_saronno_novara,UNKNOWN_RM_RA,18870101,19050101,MAIN,rule,low
ferrovia_saronno_novara,FS,19050101,,MAIN,rule,high
ferrovia_seregno_bergamo,UNKNOWN_RM_RA,18880101,19050101,MAIN,rule,low
ferrovia_seregno_bergamo,FS,19050101,,MAIN,rule,high
ferrovia_sibari_cosenza,UNKNOWN_PRE1885,18760101,18850101,MAIN,rule,low
ferrovia_sibari_cosenza,UNKNOWN_RM_RA,18850101,19050101,MAIN,rule,low
ferrovia_sibari_cosenza,FS,19050101,,MAIN,rule,high
ferrovia_terni_sulmona,UNKNOWN_PRE1885,18830101,18850101,MAIN,rule,low
ferrovia_terni_sulmona,UNKNOWN_RM_RA,18850101,19050101,MAIN,rule,low
ferrovia_terni_sulmona,FS,19050101,,MAIN,rule,high
ferrovia_terontola_foligno,UNKNOWN_PRE1885,18660101,18850101,MAIN,rule,low
ferrovia_terontola_foligno,UNKNOWN_RM_RA,18850101,19050101,MAIN,rule,low
ferrovia_terontola_foligno,FS,19050101,,MAIN,rule,high
ferrovia_tirano_lecco,UNKNOWN_RM_RA,19020101,19050101,MAIN,rule,low
ferrovia_tirano_lecco,FS,19050101,,MAIN,rule,high
ferrovia_tirrenica,SFR,18650101,18850101,MAIN,wikidata,high
ferrovia_tirrenica,RM,18850101,19050101,MAIN,wikidata,high
ferrovia_tirrenica,FS,19050101,,MAIN,rule,high
ferrovia_torino_ceres,UNKNOWN_PRE1885,18680101,18850101,MAIN,rule,low
ferrovia_torino_ceres,UNKNOWN_RM_RA,18850101,19050101,MAIN,rule,low
ferrovia_torino_ceres,FS,19050101,,MAIN,rule,high
ferrovia_torino_fossano_savona,UNKNOWN_PRE1885,18480101,18850101,MAIN,rule,low
ferrovia_torino_fossano_savona,UNKNOWN_RM_RA,18850101,19050101,MAIN,rule,low
ferrovia_torino_fossano_savona,FS,19050101,,MAIN,rule,high
ferrovia_torino_genova,SFAI,18650101,18850101,MAIN,wikidata,high
ferrovia_torino_genova,RM,18850101,19050101,MAIN,wikidata,high
ferrovia_torino_genova,FS,19050101,,MAIN,rule,high
ferrovia_torino_milano,UNKNOWN_PRE1885,18550101,18850101,MAIN,rule,low
ferrovia_torino_milano,UNKNOWN_RM_RA,18850101,19050101,MAIN,rule,low
ferrovia_torino_milano,FS,19050101,,MAIN,rule,high
ferrovia_trento_mal_mezzana,FS,19050101,,MAIN,rule,high
ferrovia_trento_venezia,UNKNOWN_RM_RA,18960101,19050101,MAIN,rule,low
ferrovia_trento_venezia,FS,19050101,,MAIN,rule,high
ferrovia_treviglio_cremona,SFAI,18650101,18850101,MAIN,wikidata,high
ferrovia_treviglio_cremona,FS,19050101,,MAIN,rule,high
ferrovia_treviso_portogruaro,UNKNOWN_RM_RA,18850101,19050101,MAIN,rule,low
ferrovia_treviso_portogruaro,FS,19050101,,MAIN,rule,high
ferrovia_trofarello_chieri,UNKNOWN_PRE1885,18740101,18850101,MAIN,rule,low
ferrovia_trofarello_chieri,UNKNOWN_RM_RA,18850101,19050101,MAIN,rule,low
ferrovia_trofarello_chieri,FS,19050101,,MAIN,rule,high
ferrovia_udine_trieste,UNKNOWN_PRE1885,18600101,18850101,MAIN,rule,low
